algo,dtype,n,fill_time_s,query_time_s
universal_chain,u64,100000,0.045583,0.009022
perfect_fks_static,u64,100000,0.15439,0.0162332
perfect_dynamic_bucket,u64,100000,0.160172,0.0142991
cuckoo,u64,100000,0.0207417,0.0076202
universal_chain,u64,300000,0.15737,0.0419646
perfect_fks_static,u64,300000,0.490243,0.0603154
perfect_dynamic_bucket,u64,300000,0.509442,0.0588821
cuckoo,u64,300000,0.0628856,0.0234092
universal_chain,u64,500000,0.275241,0.0850881
perfect_fks_static,u64,500000,0.852267,0.100572
perfect_dynamic_bucket,u64,500000,0.85765,0.10496
cuckoo,u64,500000,0.105553,0.0398956
universal_chain,u64,700000,0.390152,0.121929
perfect_fks_static,u64,700000,1.18258,0.148587
perfect_dynamic_bucket,u64,700000,1.21114,0.148891
cuckoo,u64,700000,0.156864,0.0578843
universal_chain,u64,1000000,0.562961,0.184552
perfect_fks_static,u64,1000000,1.6971,0.220349
perfect_dynamic_bucket,u64,1000000,1.73048,0.214233
cuckoo,u64,1000000,0.227206,0.0846579
universal_chain,u64,3000000,1.76432,0.605614
perfect_fks_static,u64,3000000,5.22568,0.754267
perfect_dynamic_bucket,u64,3000000,5.33792,0.685724
cuckoo,u64,3000000,0.845662,0.411773
universal_chain,u64,5000000,2.99531,1.02897
perfect_fks_static,u64,5000000,8.83724,1.21438
perfect_dynamic_bucket,u64,5000000,9.31235,1.15466
cuckoo,u64,5000000,1.47388,0.763809
universal_chain,u64,7000000,4.21971,1.45713
perfect_fks_static,u64,7000000,12.7986,1.69439
perfect_dynamic_bucket,u64,7000000,13.3308,1.65232
cuckoo,u64,7000000,2.14646,1.12632
universal_chain,string,100000,0.0615622,0.0242101
perfect_fks_static,string,100000,0.153351,0.0140515
perfect_dynamic_bucket,string,100000,0.161442,0.0161052
cuckoo,string,100000,0.0207013,0.0076457
universal_chain,string,300000,0.214151,0.0938903
perfect_fks_static,string,300000,0.487583,0.0561844
perfect_dynamic_bucket,string,300000,0.509386,0.0586173
cuckoo,string,300000,0.063629,0.0234741
universal_chain,string,500000,0.36102,0.172775
perfect_fks_static,string,500000,0.833717,0.110445
perfect_dynamic_bucket,string,500000,0.869134,0.102868
cuckoo,string,500000,0.106697,0.0436535
universal_chain,string,700000,0.510411,0.235558
perfect_fks_static,string,700000,1.18787,0.156599
perfect_dynamic_bucket,string,700000,1.22703,0.150119
cuckoo,string,700000,0.155748,0.0608465
universal_chain,string,1000000,0.737389,0.347645
perfect_fks_static,string,1000000,1.73137,0.223654
perfect_dynamic_bucket,string,1000000,1.76888,0.220062
cuckoo,string,1000000,0.230864,0.0921122
universal_chain,string,3000000,2.27959,1.07816
perfect_fks_static,string,3000000,5.22125,0.713457
perfect_dynamic_bucket,string,3000000,5.41787,0.688628
cuckoo,string,3000000,0.859288,0.424328
universal_chain,string,5000000,3.92285,1.80865
perfect_fks_static,string,5000000,8.95565,1.19954
perfect_dynamic_bucket,string,5000000,9.35173,1.15435
cuckoo,string,5000000,1.48129,0.755472
universal_chain,string,7000000,5.65503,2.58223
perfect_fks_static,string,7000000,13.0916,1.70281
perfect_dynamic_bucket,string,7000000,14.0356,1.64202
cuckoo,string,7000000,2.15544,1.139
universal_chain,pair,100000,0.0498075,0.0106553
perfect_fks_static,pair,100000,0.152039,0.0153132
perfect_dynamic_bucket,pair,100000,0.169674,0.0147056
cuckoo,pair,100000,0.0203756,0.0076874
universal_chain,pair,300000,0.165155,0.0510975
perfect_fks_static,pair,300000,0.503394,0.0553341
perfect_dynamic_bucket,pair,300000,0.53445,0.0602469
cuckoo,pair,300000,0.0618488,0.0235852
universal_chain,pair,500000,0.281735,0.091538
perfect_fks_static,pair,500000,0.840373,0.108414
perfect_dynamic_bucket,pair,500000,0.887775,0.105618
cuckoo,pair,500000,0.126908,0.0402335
universal_chain,pair,700000,0.4077,0.134283
perfect_fks_static,pair,700000,1.18915,0.151045
perfect_dynamic_bucket,pair,700000,1.27113,0.15278
cuckoo,pair,700000,0.15429,0.0563601
universal_chain,pair,1000000,0.608908,0.202533
perfect_fks_static,pair,1000000,1.75366,0.226829
perfect_dynamic_bucket,pair,1000000,1.82115,0.223561
cuckoo,pair,1000000,0.249244,0.12733
universal_chain,pair,3000000,1.94993,0.649888
perfect_fks_static,pair,3000000,5.46759,0.727593
perfect_dynamic_bucket,pair,3000000,5.74866,0.713479
cuckoo,pair,3000000,0.91629,0.451654
universal_chain,pair,5000000,3.28823,1.13415
perfect_fks_static,pair,5000000,9.20418,1.22158
perfect_dynamic_bucket,pair,5000000,9.54337,1.17652
cuckoo,pair,5000000,1.51554,0.773276
universal_chain,pair,7000000,4.6056,1.57992
perfect_fks_static,pair,7000000,12.6463,1.69442
perfect_dynamic_bucket,pair,7000000,13.3926,1.65391
cuckoo,pair,7000000,2.12654,1.09998
universal_chain,pair_dataset,50000,0.0282168,0.0086543
perfect_fks_static,pair_dataset,50000,0.0736215,0.0056907
perfect_dynamic_bucket,pair_dataset,50000,0.0753839,0.0057521
cuckoo,pair_dataset,50000,0.0098464,0.0037081
universal_chain,pair_dataset,100000,0.0617566,0.0215891
perfect_fks_static,pair_dataset,100000,0.15458,0.0158248
perfect_dynamic_bucket,pair_dataset,100000,0.163399,0.0156797
cuckoo,pair_dataset,100000,0.0204782,0.0076281
universal_chain,pair_dataset,200000,0.125393,0.0455327
perfect_fks_static,pair_dataset,200000,0.339763,0.0377953
perfect_dynamic_bucket,pair_dataset,200000,0.335251,0.0348824
